TrialID	BlockCount	DisplaySampleDuration	PostSampleDelayDuration	DisplayPostSampleDistractorsDuration	PreTargetDelayDuration	SampleStimLocation	SearchStimIndices	SearchStimLocations	SearchStimTokenReward	PostSampleDistractorStimIndices	PostSampleDistractorStimLocations
WM11	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[1,16,13]	[[-3, 0, 0],[1, 0, 0],[2, 2, 0]]	[2,-1,-1]	[]	[]
WM12	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[28,5,25]	[[-2, -1, 0],[1, -1, 0],[4, 1, 0]]	[2,-1,-1]	[]	[]
WM13	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[5,14,12]	[[4, 1, 0],[-1, 2, 0],[3, 2, 0]]	[2,-1,-1]	[]	[]
WM14	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[24,25,20]	[[-4, -2, 0],[2, -1, 0],[-1, 2, 0]]	[2,-1,-1]	[25,27,20]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WM15	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[27,4,11]	[[1, 1, 0],[-4, 2, 0],[1, -1, 0]]	[2,-1,-1]	[4,23,11]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WM16	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[5,13,4]	[[3, -2, 0],[-3, -1, 0],[-1, -2, 0]]	[2,-1,-1]	[4,13,17]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WM17	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[6,4,23]	[[3, 1, 0],[-2, 2, 0],[0, -1, 0]]	[2,-1,-1]	[]	[]
WM18	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[21,26,27]	[[4, -1, 0],[3, 1, 0],[-2, 2, 0]]	[2,-1,-1]	[]	[]
WM19	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[26,1,9]	[[-3, -1, 0],[3, 1, 0],[-2, -2, 0]]	[2,-1,-1]	[9,1,20]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WM110	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[4,15,18]	[[0, -1, 0],[-3, -1, 0],[-1, 2, 0]]	[2,-1,-1]	[]	[]
WM111	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[23,22,28]	[[-2, 1, 0],[-4, -1, 0],[-1, -1, 0]]	[2,-1,-1]	[28,8,22]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WM112	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[22,18,20]	[[3, 1, 0],[-1, -1, 0],[1, 0, 0]]	[2,-1,-1]	[]	[]
WM113	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[26,0,19]	[[-1, -1, 0],[2, 2, 0],[4, 1, 0]]	[2,-1,-1]	[19,0,9]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WM114	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[21,26,14]	[[-3, 2, 0],[-1, -2, 0],[-2, 1, 0]]	[2,-1,-1]	[26,14,29]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
