TrialID	BlockCount	DisplaySampleDuration	PostSampleDelayDuration	DisplayPostSampleDistractorsDuration	PreTargetDelayDuration	SampleStimLocation	SearchStimIndices	SearchStimLocations	SearchStimTokenReward	PostSampleDistractorStimIndices	PostSampleDistractorStimLocations
WMTEST49	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[1,2,11]	[[-2, 0, 0],[-3, 2, 0],[3, 2, 0]]	[2,-1,-1]	[]	[]
WMTEST50	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[9,1,14]	[[-2, -2, 0],[2, -2, 0],[0, 1, 0]]	[2,-1,-1]	[]	[]
WMTEST51	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[22,4,15]	[[1, 0, 0],[-2, -2, 0],[3, 2, 0]]	[2,-1,-1]	[4,13,15]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WMTEST52	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[12,23,6]	[[-2, 0, 0],[1, 2, 0],[1, 0, 0]]	[2,-1,-1]	[]	[]
WMTEST53	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[3,23,22]	[[-2, 1, 0],[0, -1, 0],[-3, -2, 0]]	[2,-1,-1]	[]	[]
WMTEST54	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[21,22,23]	[[-2, 1, 0],[0, -1, 0],[-4, 2, 0]]	[2,-1,-1]	[22,16,23]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WMTEST55	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[10,12,23]	[[-3, 0, 0],[-2, -1, 0],[3, 1, 0]]	[2,-1,-1]	[]	[]
WMTEST56	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[18,12,9]	[[1, 1, 0],[-1, -2, 0],[2, 2, 0]]	[2,-1,-1]	[9,12,7]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WMTEST57	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[11,17,19]	[[-2, 2, 0],[0, -2, 0],[2, -1, 0]]	[2,-1,-1]	[]	[]
WMTEST58	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[19,12,23]	[[-2, 2, 0],[-3, 2, 0],[4, 2, 0]]	[2,-1,-1]	[]	[]
WMTEST59	1	0.50	0.50	0.50	2.00	[0, 0, 0]	[15,3,22]	[[1, 1, 0],[-2, 0, 0],[0, 2, 0]]	[2,-1,-1]	[3,19,22]	[[-3, 0, 0],[0, 0, 0],[3, 0, 0]]
WMTEST60	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[15,22,7]	[[-3, -1, 0],[-1, -2, 0],[1, -2, 0]]	[2,-1,-1]	[]	[]
WMTEST61	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[3,21,5]	[[4, 2, 0],[2, 1, 0],[-4, 2, 0]]	[2,-1,-1]	[]	[]
WMTEST62	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[0,7,23]	[[-2, -2, 0],[-4, 1, 0],[2, 0, 0]]	[2,-1,-1]	[]	[]
WMTEST63	1	0.50	0.50	0.50	3.00	[0, 0, 0]	[1,22,5]	[[4, -1, 0],[-3, -2, 0],[2, -1, 0]]	[2,-1,-1]	[]	[]
